Sakoen,Pronunciation,Part of speech,English
azak,/aθak/,nin.,pepper
azbab,/aθbab/,num.,zero
azbutvu,/aθbutvu/,nin.,doll
azc'imo,/aθʧimo/ [aʃimo],nin.,nickname
azdeshab,/aθdeʃab/,nin.,nerve
azenzos,/aθenθos/,nin.,wardrobe
aznu,/aθnu/,nin.,plug
aznus,/aθnus/,nin.,cotton
ba,/ba/,nin.,cave; hole; tomb; crater; cavity; crack; well
baangi,/baanɣi/ [baːnɣi],nin.,page
baatshom,/baatʃom/ [baːtʃom],adj.,tropical
babedom,/babedom/,nin.,grill; barbecue
babnab,/babnab/,nin.,mistress
badar,/badaɾ/,nin.,result; outcome
badpi,/badpi/,nin.,combat
bagoril,/baɣoɾiʎ/,nin.,arena; stadium
baikse,/baɟkse/,v.,aim; attempt
bajot,/baɟot/,v.,join; marry
bajot,/baɟot/,nin.,joint
bajotla,/baɟotʎa/,v.,create
bajuzko,/baɟuθko/,v.,deserve
baksi,/baksi/,nan.,elk
bakso,/bakso/,nin.,mattress
bal,/baʎ/,nin.,youth
balo,/baʎo/,adj.,young
balur,/baʎuɾ/,v.,detain
baluro,/baʎuɾo/,nin.,detention
bam,/bam/,nin.,show (performance); ceremony
banksuug,/banksuuɣ/ [banksuːɣ],v.,incorporate
baporo,/bapoɾo/,nin.,empathy
bar,/baɾ/,nin.,default
basvhit,/basɸit/,adj.,orange
basvhit ochdiz,/basɸit oʧdiθ/ [basɸit oʧdis],nin.,carrot
baz,/baθ/ [bas],nin.,example
baziiti,/baθiɟti/,nin.,suggestion
baziitit,/baθiɟtit/,v.,suggest
bazu,/baθu/,v.,commute
be,/be/,nin.,stem; root
beb,/beb/,nin.,orbit
beb,/beb/,det.,to the; to a
bebze,/bebθe/,nin.,field; farm; pasture; garden
bëih,/beih/ [bei],nin.,store; shop; business; arsenal
bëirum,/beiɾum/,nin.,war; armed conflict
beksi,/beksi/,nin.,advice
bel,/beʎ/,nin.,clay; brick
belketzi,/beʎketθi/,adj.,elusive
bem,/bem/,conj.,because
bemuvhin,/bemuɸin/,nin.,shell
bemuvhin gëik,/bemuɸin ɣeik/,nan.,turtle
ben,/ben/,nan.,veteran
bes,/bes/,nan.,woman; female
besho,/beʃo/,nin.,fur; thread; strand
bez,/beθ/ [bes],v.,thank
bezii,/beθiɟ/,nan.,customer; patron
bi,/bi/,pron.,everyone
bibksu,/bibksu/,nin.,message
bid,/bid/,v.,irrigate
bidaseh,/bidaseh/ [bidase],adj.,blind
bididshi,/bididʃi/,nin.,pornography
bikit,/bikit/,v.,advance
bilgerbu,/biʎɣeɾbu/,v.,shove
bilvhahat,/biʎɸahat/,v.,appeal
bimor,/bimoɾ/,adj.,silly
biomech,/biomeʧ/,nin.,discourse; rhetoric
bior,/bioɾ/,nin.,key
bir,/biɾ/,nin.,pyramid; cone
biroja,/biɾoɟa/,nin.,society
birpeshu,/biɾpeʃu/,nin.,clash
bis,/bis/,nin.,camera
bisho,/biʃo/,v.,cast; fling; shoot; fire (detonate weapon); hurl
bisreb,/bisɾeb/ [bisɯeb],nin.,bow (decorative material)
biud,/biud/,nan.,ant
bivhak,/biɸak/,nin.,surf
bo,/bo/,det.,this
bo,/bo/,pron.,this
bo ovhalko,/bo oɸaʎko/,adv.,tonight
boba,/boba/,nin.,plant; shrub
bobrarkso,/bobɾaɾkso/ [bobɯaɾkso],adj.,whole; entire
bodvhuak,/bodɸuak/,v.,hire; rent; recruit
boed,/boed/,part.,undefined
boi,/boɟ/,v.,pull; tug; tow
boinidu,/boɟnidu/,nin.,oven
böishor,/boiʃoɾ/,nin.,spring (season)
boji,/boɟi/,part.,undefined
bol,/boʎ/,nin.,genetics
bom,/bom/,nin.,den
bomso,/bomso/,nin.,crest
bon,/bon/,v.,clarify
bonvhonis,/bonɸonis/,nan.,chick (girl)
boob,/boob/ [boːb],v.,melt; dissolve
boojag,/booɟaɣ/ [boːɟaɣ],nin.,canyon
bor,/boɾ/,v.,take apart; dismantle
borul,/boɾuʎ/,adj.,distinct; apparent
bosha,/boʃa/,nin.,poison; venom
bosot,/bosot/,adj.,short; low
bosot avhense,/bosot aɸense/,nan.,infant
bosot c'ibab,/bosot ʧibab/,nin.,lower class
bosvhir,/bosɸiɾ/,nin.,button (pushbutton)
botitvuz,/botitvuθ/ [botitvus],adj.,blunt
bovhvel,/boɸveʎ/,nan.,bee
bovosha,/bovoʃa/,nin.,necklace
bozkoda,/boθkoda/,nin.,wedding
bu,/bu/,num.,two
bubse,/bubse/,v.,drop
bubvilut,/bubviʎut/,v.,ridicule
bui,/buɟ/,nin.,axis; axle
buim,/buim/,v.,leave (depart); depart
buise,/buɟse/,nin.,shape; pattern; motif; constellation
buivinas,/buɟvinas/,nin.,danger; hazard; threat
buivinaso,/buɟvinaso/,adj.,dangerous
bukamo,/bukamo/,v.,confirm; validate; verify
bukso,/bukso/,prep.,on
bumik,/bumik/,nan.,judge
bun,/bun/,adj.,native
bunegoz,/buneɣoθ/ [buneɣos],nin.,leg
bur,/buɾ/,nin.,tax; tariff
burib,/buɾib/,nin.,ticket; license; receipt
busdal,/busdaʎ/,nin.,challenge
busmu,/busmu/,v.,send; transfer; convert
but,/but/,nin.,trial
buvheut,/buɸeut/,v.,snap
buvhksajoi,/buɸksaɟoɟ/,nin.,atmosphere
buvhpoi,/buɸpoɟ/,nin.,literature
buvojo,/buvoɟo/,v.,grow; evolve
buvojoan,/buvoɟoan/,nin.,growth
buwivhav,/buwiɸav/,v.,refer
buz,/buθ/ [bus],nan.,tenant
c'a,/ʧa/,adj.,serious; sincere
c'ablam,/ʧabʎam/,nin.,autumn
c'aboz,/ʧaboθ/ [ʧabos],v.,pour; flow
c'adihksu,/ʧadihksu/ [ʧadiksu],nin.,cellar
c'akso,/ʧakso/,nin.,grid
c'aksu,/ʧaksu/,nan.,goat
c'al,/ʧaʎ/,nin.,plaque
c'aobei,/ʧaobeɟ/,nin.,spoon
c'ar,/ʧaɾ/,nin.,fin (of fish)
c'ara,/ʧaɾa/,v.,shudder; shiver
c'arbuiba,/ʧaɾbuɟba/,adj.,social
c'arob,/ʧaɾob/,v.,collect; gather; accumulate; compile
c'at,/ʧat/,nin.,urine
c'eavhog,/ʧeaɸoɣ/,nan.,tailor
c'ebga,/ʧebɣa/,nin.,stay
c'ec'ivhju,/ʧeʧiɸɟu/,nin.,scar
c'ei,/ʧeɟ/,nin.,device; appliance; gadget
c'ejemep,/ʧeɟemep/,nin.,situation (circumstances; context)
c'ejum,/ʧeɟum/,nin.,company; business
c'ejuma,/ʧeɟuma/,v.,accompany
c'elba,/ʧeʎba/,nin.,bicycle
c'elksazir,/ʧeʎksaθiɾ/,nan.,knight
c'em,/ʧem/,v.,hover; linger
c'emrulom,/ʧemɾuʎom/ [ʧemɯuʎom],nin.,hunger
c'emrulomo,/ʧemɾuʎomo/ [ʧemɯuʎomo],adj.,hungry
c'epogos,/ʧepoɣos/,v.,cheer
c'er,/ʧeɾ/,nin.,gang
c'erush,/ʧeɾuʃ/,nin.,furniture
c'es,/ʧes/,v.,damage; impair
c'es,/ʧes/,nin.,damage
c'evhmob,/ʧeɸmob/,part.,undefined
c'i,/ʧi/,nin.,system
c'ibab,/ʧibab/,nin.,class
c'iig,/ʧiiɣ/,v.,crawl
c'iiksira,/ʧiɟksiɾa/,v.,jerk
c'iizuoz,/ʧiɟθuoθ/ [ʧiɟθuos],nin.,hobby
c'il,/ʧiʎ/,nin.,chime
c'im,/ʧim/,nin.,carcass
c'in,/ʧin/,v.,gag
c'ipehi,/ʧipehi/,nin.,coil
c'it,/ʧit/,v.,bow
c'odan,/ʧodan/,nin.,wrinkle; crease; kink (sharp twist)
c'ojikso,/ʧoɟikso/,v.,reflect
c'ojiksoan,/ʧoɟiksoan/,nin.,reflection
c'oksi,/ʧoksi/,v.,resemble
c'omevre,/ʧomevɾe/ [ʧomevɯe],nan.,teenager; adolescent
c'omjoinos,/ʧomɟoɟnos/,nin.,mistake; error; defect
c'onpöin,/ʧonpoin/,nin.,soap
c'onzi,/ʧonθi/,v.,pave
c'opi,/ʧopi/,nin.,echo
c'oteli,/ʧoteʎi/,v.,ask (inquire); consult
c'otub,/ʧotub/,nin.,percent
c'ovhisho,/ʧoɸiʃo/,v.,disturb; disrupt
c'oze,/ʧoθe/,nin.,double
c'ozebzu,/ʧoθebθu/,v.,tease
c'ozu,/ʧoθu/,nan.,lord
c'ud,/ʧud/,nin.,interest (curiosity; concern)
c'udomvhab,/ʧudomɸab/,nin.,cloth; linen; rag; napkin
c'ueg,/ʧueɣ/,v.,debate; negotiate
c'ui,/ʧuɟ/,nin.,asteroid; comet
c'ujöig,/ʧuɟoiɣ/,adj.,generic
c'umub,/ʧumub/,nin.,fur
c'usuzker,/ʧusuθkeɾ/,nin.,bottle
c'utja,/ʧutɟa/,adj.,imminent; pending
c'uukai,/ʧuukaɟ/ [ʧuːkaɟ],nin.,knob
c'uz,/ʧuθ/ [ʧus],nin.,floor; ground; bottom (lowest part)
c'uzodo,/ʧuθodo/,v.,slap; clap
cie,/cie/,num.,twenty
da,/da/,nan.,rodent; mouse
dabav,/dabav/ [dabaɸ],v.,die
dabava,/dabava/,adj.,dead
dabavan,/dabavan/,nin.,death
dadgu,/dadɣu/,v.,have; take; carry; catch; own; possess; include; arrest; absorb
dadgu,/dadɣu/,nin.,sponge
dadlehut,/dadʎehut/,nin.,biology
dadup,/dadup/,nin.,staff; crew
dai,/dai/,part.,undefined
daje,/daɟe/,v.,face; fight; confront
dajut,/daɟut/,v.,fall; dive; stumble
daksi,/daksi/,v.,swim
dal,/daʎ/,nin.,parsley
damol,/damoʎ/,nin.,back (of body); back (reverse side)
damtier,/damtieɾ/,adj.,temporary
daon,/daon/,v.,execute
dapaksa,/dapaksa/,nan.,child (young human being); child (son or daughter of any age)
dare,/daɾe/,adv.,never
dasiz,/dasiθ/ [dasis],nin.,courtesy
daz,/daθ/ [das],nan.,baby; toddler
dazdoz,/daθdoθ/ [daθdos],nin.,shed
dazui,/daθuɟ/,adj.,favorite
de,/de/,det.,all
deaz,/deaθ/ [deas],nin.,calendar; schedule; roster
deb,/deb/,nin.,rake; fork
dec'e,/deʧe/,nin.,effect
dec'etlo,/deʧetʎo/,nin.,fiction
dedamkse,/dedamkse/,v.,love
dedrar,/dedɾaɾ/ [dedɯaɾ],nin.,nation
dege,/deɣe/,nin.,stall; kiosk
dei,/deɟ/,nin.,credit (of money)
dejumksi,/deɟumksi/,v.,dub
deled,/deʎed/,v.,install; establish
deljol,/deʎɟoʎ/,v.,heal
denuvhksu,/denuɸksu/,nin.,soil; dust
depimdib,/depimdib/,nin.,mind (thinking faculty); brain
depimdib vushu,/depimdib vuʃu/,nin.,psychology
der,/deɾ/,v.,introduce
derzi,/deɾθi/,adj.,mean; rude; nasty
desa,/desa/,nin.,species; kind; type
desha,/deʃa/,num.,one
deshi,/deʃi/,v.,grunt
desihsa,/desihsa/ [desisa],nin.,armpit
desus,/desus/,nin.,color; paint
det,/det/,nin.,merchandise
detnavhte,/detnaɸte/,nin.,mail
deub,/deub/,v.,frown
devhibshod,/deɸibʃod/,v.,kidnap
devhig,/deɸiɣ/,nan.,tiger
di,/di/,det.,the; a
diatva,/diatva/,nin.,robe; gown
diel,/dieʎ/,nin.,comb
dierle,/dieɾʎe/,nan.,caterpillar
digu,/diɣu/,nin.,navy
dii,/diɟ/,adj.,equal; equivalent
diishis,/diɟʃis/,nin.,dream
diishis,/diɟʃis/,v.,dream
dikoji,/dikoɟi/,v.,light
diksiruz,/diksiɾuθ/ [diksiɾus],nin.,list; menu
dile,/diʎe/,nin.,warrant
dimapaz,/dimapaθ/ [dimapas],nin.,reception (of office or hotel)
dimlin,/dimʎin/,nin.,liberty
dimunem,/dimunem/,nin.,axe
dingova,/dinɣova/,nin.,vegetable
dingovaui,/dinɣovauɟ/,nan.,grocer
diodab,/diodab/,v.,dare
diot,/diot/,nin.,chalk
dirmim,/diɾmim/,nin.,oath
dis,/dis/,nin.,jungle
ditim,/ditim/,v.,march
dizgusshu,/diθɣusʃu/,v.,arm
do,/do/,nin.,pistol
do,/do/,det.,the; a
dobuan,/dobuan/,nin.,formula
dod,/dod/,nin.,neck
doiksi,/doɟksi/,v.,lift; raise; climb; boost; escalate
döivnii,/doivniɟ/ [diːvniɟ],prep.,out; outside
doksaksi,/doksaksi/,nin.,coat; jacket; layer; cloak
dokseov,/dokseov/,nan.,whore
doli,/doʎi/,adj.,fair; just
don,/don/,v.,chase
donbuveb,/donbuveb/,nin.,court (of law); tribunal
donuzol,/donuθoʎ/,v.,could
doop,/doop/ [doːp],v.,cram; jam; squeeze; squash
dor,/doɾ/,adj.,green; fresh
doratos,/doɾatos/,nin.,moss
dos,/dos/,adj.,random
dosboul,/dosbouʎ/,interj.,goodbye
dose,/dose/,nin.,pear
doz,/doθ/ [dos],v.,scrub
dozka,/doθka/,part.,should
du,/du/,adj.,poor
dubpazoi,/dubpaθoɟ/,nan.,rat
dubtii,/dubtiɟ/,nan.,orphan
dudgur,/dudɣuɾ/,nin.,fury
dudguro,/dudɣuɾo/,adj.,furious
dugokam,/duɣokam/,adj.,extreme; severe; radical
duji,/duɟi/,adj.,quick
dujii,/duɟiɟ/,adv.,quickly
dulbiji,/duʎbiɟi/,v.,pat
dun,/dun/,v.,wind; weave
duokeg,/duokeɣ/,v.,estimate
duotgui,/duotɣuɟ/,nin.,sketch
durpanlur,/duɾpanʎuɾ/,nin.,curve; arc
dus,/dus/,nin.,chart; diagram
dushoad,/duʃoad/,v.,twist; wiggle
duwe,/duwe/,v.,exist
duwean,/duwean/,nin.,existence
duzksium,/duθksium/,v.,charm; seduce
duzut,/duθut/,nan.,mule
ebdin,/ebdin/,nin.,butt
ebksosai,/ebksosaɟ/,adv.,maybe; perhaps
ebsas,/ebsas/,v.,dig; scoop
ebza,/ebθa/,nan.,grandfather
echbi,/eʧbi/,v.,bend; lean
echpu,/eʧpu/,nin.,weapon
echpuui,/eʧpuuɟ/ [eʧpuːɟ],nin.,armory
echsasso,/eʧsasso/ [eʧsaʃo],v.,stop; stay; remain; arrest; persist
echsëin,/eʧsein/,nin.,vacation
echvhorgos,/eʧɸoɾɣos/,nan.,demon; goblin
echvhudksu,/eʧɸudksu/,nin.,lobby
ed,/ed/,nin.,happiness
edksa,/edksa/,nin.,concrete
edkud,/edkud/,adj.,sudden; abrupt
edkudu,/edkudu/,adv.,suddenly
edo,/edo/,adj.,happy
edsheui,/edʃeuɟ/,nin.,profit
eg,/eɣ/,adj.,full
egik,/eɣik/,nin.,stick
egjid,/eɣɟid/,nin.,peace
egkoigem,/eɣkoɟɣem/,nin.,blasphemy; heresy
egkselub,/eɣkseʎub/,conj.,that
egokve,/eɣokve/,nin.,skeleton; hull
egozmad,/eɣoθmad/,nin.,pair
egrad,/eɣɾad/ [eɣɯad],v.,build; construct; erect; produce (manufacture)
egrado,/eɣɾado/ [eɣɯado],nin.,product (item made)
egrado,/eɣɾado/ [eɣɯado],nin.,building
egug,/eɣuɣ/,nin.,journey; trip; tour; voyage
egvad,/eɣvad/,nin.,trench
eh,/eh/ [e],v.,keep (store); store
ehksu,/ehksu/ [eksu],nin.,cord
ehpid,/ehpid/ [epid],v.,use; utilize; employ; exert; exploit; recruit
ehpid,/ehpid/ [epid],nin.,use
ehsarkse,/ehsaɾkse/ [esaɾkse],nin.,graph
ehzemar,/ehθemaɾ/ [eθemaɾ],nin.,staple
ei,/eɟ/,num.,four
eidubro,/eɟdubɾo/ [eɟdubɯo],v.,contain; involve; entail
eigo,/eɟɣo/,v.,violate
eigugi,/eɟɣuɣi/,v.,crunch
eiksake,/eɟksake/,adj.,basic
eilaz,/eɟʎaθ/ [eɟʎas],adj.,smart; intelligent; clever
eiliwe,/eɟʎiwe/,nin.,diameter
ejasheg,/eɟaʃeɣ/,part.,undefined
ejimc'a,/eɟimʧa/,v.,exclude
ejogim,/eɟoɣim/,adj.,gay; homosexual
ejol,/eɟoʎ/,v.,clap
ek,/ek/,adj.,complicated
ekapik,/ekapik/,nin.,table; bench
ekdi,/ekdi/,nin.,lung
eken,/eken/,nan.,witch; prophet
ekesh,/ekeʃ/,v.,tolerate
ekoi,/ekoɟ/,v.,give; let; allow; permit; present; provide; contribute; donate
ekojan,/ekoɟan/,nin.,permission
ekombab,/ekombab/,adj.,vague
ekovhka,/ekoɸka/,nin.,thunder
ektu,/ektu/,adv.,ago
ekza,/ekθa/,nin.,sand; shore; gravel
el,/eʎ/,v.,ask (request); request
el,/eʎ/,det.,the; some
elgalzil,/eʎɣaʎθiʎ/,nin.,elbow
elksere,/eʎkseɾe/,nin.,trailer
elkseuh,/eʎkseuh/ [eʎkseu],nin.,cartoon
elksu,/eʎksu/,nan.,clerk; accountant
ellabe,/eʎʎabe/ [eʎabe],v.,sew
elpu,/eʎpu/,adj.,petty
elser,/eʎseɾ/,v.,dine
em,/em/,nin.,gem
emazma,/emaθma/,v.,fail
emazmaan,/emaθmaan/ [emaθmaːn],nin.,failure
emdi,/emdi/,v.,continue; keep (continue)
emshanjol,/emʃanɟoʎ/,nin.,drum
emtoiksu,/emtoɟksu/,nin.,gun; rifle; pistol; firearm
emvhi,/emɸi/,nin.,courier
en,/en/,nin.,number
enap,/enap/,v.,intimidate
enetsu,/enetsu/,adv.,yesterday
enev,/enev/ [eneɸ],nin.,lot
engelmer,/enɣeʎmeɾ/,part.,undefined
eniz,/eniθ/ [enis],adj.,ill; unwell
enkse,/enkse/,v.,affiliate
enkseziz,/enkseθiθ/ [enkseθis],v.,pollute
enlo,/enʎo/,v.,roll; revolve
enrisdor,/enɾisdoɾ/ [enɯisdoɾ],nin.,apartment
eoz,/eoθ/ [eos],conj.,for
ep,/ep/,adj.,good; fabulous; hot (attractive); nice; great (excellent)
epdekur,/epdekuɾ/,v.,wreck; ruin; spoil
epksi,/epksi/,nin.,party
epksujul,/epksuɟuʎ/,adj.,long
epksujulob,/epksuɟuʎob/,nin.,length
epmashom,/epmaʃom/,nan.,passenger
epum,/epum/,v.,kill; murder
epushgim,/epuʃɣim/,adj.,empty; vacant; hollow; naked; nude
er,/eɾ/,nin.,hybrid
erdibin,/eɾdibin/,adj.,polite
erksegan,/eɾkseɣan/,adj.,damn
erksiov,/eɾksiov/,conj.,as
erksivhui,/eɾksiɸuɟ/,adj.,hot; warm
erksivhujob,/eɾksiɸuɟob/,nin.,heat
ermir,/eɾmiɾ/,nin.,lust
ernum,/eɾnum/,nin.,locker
erod,/eɾod/,nin.,trouble
eroi,/eɾoɟ/,v.,borrow
erse,/eɾse/,adj.,late
ersei,/eɾseɟ/,adv.,recently
ersul,/eɾsuʎ/,nin.,violin
es,/es/,adj.,yellow
es viirksi,/es viiɾksi/,nan.,fox
esadvhe,/esadɸe/,prep.,by (using the means of); by (using a route)
esar,/esaɾ/,adj.,dark
esarob,/esaɾob/,nin.,darkness
esbelui,/esbeʎuɟ/,nin.,mask; veil
esh,/eʃ/,nin.,nature; environment (natural world)
esh,/eʃ/,det.,the; a
eshbu,/eʃbu/,v.,fit; belong
eshivra,/eʃivɾa/ [eʃivɯa],v.,squeeze; clutch
eshksuai,/eʃksuaɟ/,nin.,hedge; shrub; fence
eshmu,/eʃmu/,nan.,bureaucrat
eshot,/eʃot/,nin.,war
eshotmis,/eʃotmis/,nin.,sound
eshsi,/eʃsi/,nin.,center; nucleus; hub (center of activity)
eshsivh,/eʃsiɸ/,adj.,central
eshti,/eʃti/,v.,long (want for)
eshvizra,/eʃviθɾa/ [eʃviθɯa],nin.,apparatus
esksi,/esksi/,nin.,ward
esoshig,/esoʃiɣ/,v.,enjoy
espizde,/espiθde/,nin.,security
essu,/essu/ [eʃu],nan.,bear
et,/et/,adv.,down
et,/et/,prep.,down
etc'ai,/etʧaɟ/,nin.,mountain; hill
etleb,/etʎeb/,v.,surpass; transcend
etsuii,/etsuiɟ/,nin.,cherry
etvieg,/etvieɣ/,nin.,outline
ev,/ev/,nin.,star
ev vushu,/ev vuʃu/,nin.,astronomy
evc'a,/evʧa/,nin.,metal
evc'a iigatkui,/evʧa iɟɣatkuɟ/,nin.,foil
evdet,/evdet/,nin.,detail
evhat,/eɸat/,nin.,unit
evhbosro,/eɸbosɾo/ [eɸbosɯo],nin.,miracle
evhep,/eɸep/,nin.,remedy
